Description Intelligence Speed Strength Agility Combat
BANSHEE 26 24 16 39 21
BEAST 46 21 42 40 37
BLACKWIDOW 38 23 21 32 39
BLACKWIDOW 38 23 21 32 39
BRUCEBANNER 45 11 8 7 10
CAPTAINAMERICA 20 32 42 36 46
COLOSSUS 25 15 40 18 34
CYCLOPS 33 25 28 19 35
DESTROYER 7 19 47 15 44
FALCON 32 41 38 31 35
GHOSTRIDER 22 19 36 17 42
GHOSTRIDER 22 19 36 17 42
HAVOK 24 16 19 30 35
HAWKEYE 28 34 21 36 39
IRONMAN 42 28 38 24 40
IRONMAN 42 28 38 24 40
JEANGREY 45 19 21 27 22
LOKI 44 15 17 24 30
LUKECAGE 31 30 41 18 38
LUKECAGE 31 30 41 18 38
MAGNETO 43 15 21 17 32
MAGNETO 43 15 21 17 32
MEDUSA 31 21 18 26 29
MYSTIQUE 40 16 15 26 31
MYSTIQUE 40 16 15 26 31
NOVA 21 26 37 32 37
PROFESSORX 45 14 8 7 21
REDSKULL 29 17 28 14 37
SILVERSURFER 32 46 37 29 35
SPIDERMAN 27 34 24 46 31
STORM 41 16 19 27 36
STORM 41 16 19 27 36 
THEHULK 5 17 48 19 48
THEHULK 5 17 48 19 48
THOR 23 18 39 20 45
THOR 23 18 39 20 45
TONYSTARK 42 16 11 14 10
VULTURE 16 31 19 38 24
WOLVERINE 25 27 40 38 49
WOLVERINE 25 27 40 38 49
