Description Intelligence Speed Strength Agility Combat
captainamerica 30 22 38 32 62
daredevil 34 19 31 40 51
gamora 29 42 31 38 55
dazzler 22 33 19 30 28
ironheart 61 49 58 52 20
punisher 31 18 34 21 64
mach-x 41 52 41 60 39
psylocke 20 19 30 31 62
wintersoldier 21 20 42 31 62
songbird 20 35 19 61 41
betaraybill 21 70 70 60 51
fixer 51 41 43 40 19
hawkeye 30 21 21 21 63
carnage 23 32 51 49 21
electro 21 19 18 29 17
enigma 31 21 24 59 42
hulk 21 31 71 74 45
goldskull 30 19 21 18 9
magik 41 22 24 29 44
gwenpool 23 22 33 31 51
thor 21 73 75 62 43
citizenv 19 21 20 24 42
star-lord 41 22 33 31 43
hercules 21 22 71 63 43
moonstone 41 32 51 41 30
ironpatriot 42 53 62 61 45
medusa 28 19 31 30 46
scarletspider 40 36 39 29 38
mekara 46 47 70 60 31
superioroctopus 51 29 38 33 40
gorgon 20 24 48 30 37
ghostrider 21 22 41 53 19
spidergwen 29 29 29 34 34
scragg 40 62 64 67 65
hi-vo 9 71 29 73 19
maximusthemad 55 31 33 34 19
spider-man 41 32 45 47 50
ironman 61 51 63 65 48
blackpanther 51 39 42 49 59
thanos 63 27 75 66 54
